"Daily Weather Observations for Melbourne (Olympic Park), Victoria for November 2025",,,,,,,,,,,,,,,,,,,,,
Prepared at 13:01 UTC on Wednesday 18 March 2026   IDCJDW3033.202511,,,,,,,,,,,,,,,,,,,,,
Copyright 2003 Commonwealth Bureau of Meteorology,,,,,,,,,,,,,,,,,,,,,
Observations were drawn from Melbourne (Olympic Park) {station 086338},,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Date,Min temperature (°C),Max temperature (°C),Total Rainfall (mm),Time of maximum  gust,Direction of wind,max wind speed (km/h),max  gust speed(km/h),max pressure (hPa),Max Humidity (%),Min Humidity (%),,,,9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
,15/04/2015,17.2,27.3,2.4,13:00,N,28,46,1019.6,90,37,,,,,,,,,,
,16/04/2015,13.9,17.4,0,2:30,W,17,30,1026.5,87,58,,,,,,,,,,
,17/04/2015,10.1,16.7,3,14:30,NNE,11,15,1024.5,94,57,,,,,,,,,,
,18/04/2015,11.1,21.3,3.6,18:26,S,20,43,1014.2,100,39,,,,,,,,,,
,19/04/2015,9.7,14.1,6.4,14:30,S,22,56,1035.1,87,45,,,,,,,,,,
,20/04/2015,7,15.8,1.4,16:00,SSE,19,37,1037.1,86,42,,,,,,,,,,
,21/04/2015,6.6,17.3,0,13:30,SSE,19,28,1034.5,93,47,,,,,,,,,,
,22/04/2015,9.3,19.2,0,10:30,SE,15,28,1028.5,91,63,,,,,,,,,,
,23/04/2015,12.5,19,0,12:00,SSE,17,26,1021.2,98,69,,,,,,,,,,
,24/04/2015,13.3,20.4,1.8,21:30,NW,19,32,1008.3,97,56,,,,,,,,,,
,25/04/2015,11.6,14.9,5.2,22:30,SSW,22,44,1014.4,100,70,,,,,,,,,,
,26/04/2015,10.4,15.1,3.6,3:00,SSW,17,32,1021.3,98,58,,,,,,,,,,
,27/04/2015,11,14.8,4,4:00,W,15,30,1026.1,89,70,,,,,,,,,,
,28/04/2015,8.9,15.4,1.6,16:00,S,15,30,1030.4,96,55,,,,,,,,,,
,29/04/2015,7.4,16.4,0,14:00,SSW,13,20,1032.2,93,54,,,,,,,,,,
,30/04/2015,6.5,19.5,0,16:30,SSE,11,19,1032.2,99,42,,,,,,,,,,
,1/05/2015,8.2,22.8,0,15:00,NNE,15,24,1029.1,97,38,,,,,,,,,,
,2/05/2015,12.1,22.1,0,11:30,N,24,41,1020.2,97,49,,,,,,,,,,
,3/05/2015,9.9,17.8,0,15:30,S,9,17,1020.4,100,58,,,,,,,,,,
,4/05/2015,7.6,22,0,23:30,N,32,48,1017.5,100,39,,,,,,,,,,
,5/05/2015,11.8,17.3,1.4,11:46,NNW,33,56,1009.6,78,41,,,,,,,,,,
,6/05/2015,9.7,16.1,2.2,19:00,WSW,13,30,1017.2,81,51,,,,,,,,,,
,7/05/2015,10.5,14.6,2.2,15:00,W,20,39,1020.7,75,51,,,,,,,,,,
,8/05/2015,10.7,15.6,0.2,15:00,NNW,19,33,1020.1,75,53,,,,,,,,,,
,9/05/2015,13,18.2,0,21:00,N,26,44,1014.8,74,50,,,,,,,,,,
,10/05/2015,12.9,16,8.6,14:30,W,20,50,1007.9,91,52,,,,,,,,,,
,11/05/2015,12.5,15.6,2.6,9:30,WSW,15,33,1014.6,94,56,,,,,,,,,,
,12/05/2015,8.3,16.4,2,14:30,W,19,44,1015.6,72,43,,,,,,,,,,
,13/05/2015,6.4,12.7,6.8,14:00,SSW,19,35,1028.2,89,55,,,,,,,,,,
,14/05/2015,10.1,14.2,4.4,14:30,SSW,17,35,1034.1,98,75,,,,,,,,,,
,15/05/2015,11.6,14.1,1.8,12:30,S,15,28,1036.8,100,70,,,,,,,,,,
,16/05/2015,9,15.9,0,16:00,SSW,11,19,1037.2,99,62,,,,,,,,,,
,17/05/2015,7.6,20.4,0,11:30,N,20,30,1034,100,46,,,,,,,,,,
,18/05/2015,7.3,19.8,0,15:00,N,17,28,1031.4,92,44,,,,,,,,,,
,19/05/2015,13.4,16.1,2.4,0:00,N,22,39,1019.1,87,46,,,,,,,,,,
,20/05/2015,11.3,17.6,4,0:30,N,22,39,1019.7,100,53,,,,,,,,,,
,21/05/2015,10.5,13,6.2,3:30,S,13,30,1026.4,99,73,,,,,,,,,,
,22/05/2015,9.3,14.1,0.4,15:00,S,17,28,1032.4,99,62,,,,,,,,,,
,23/05/2015,8.2,12.9,0,14:30,SSW,15,20,1033.6,91,62,,,,,,,,,,
,24/05/2015,6.1,15.2,0,14:00,SW,9,13,1032.4,94,62,,,,,,,,,,
,25/05/2015,8.3,17,0,12:30,NNE,13,24,1031.7,84,51,,,,,,,,,,
,26/05/2015,5.5,15.5,0,14:30,N,17,26,1029.9,86,56,,,,,,,,,,
,27/05/2015,10.2,18.6,0,14:30,N,22,37,1022.9,80,56,,,,,,,,,,
,28/05/2015,13.3,19.6,0,14:30,N,26,39,1018.6,82,48,,,,,,,,,,
,29/05/2015,10.3,15.5,0,11:30,WNW,15,30,1022.3,69,46,,,,,,,,,,
,30/05/2015,11.3,16.8,0,15:00,NW,17,43,1021.9,70,44,,,,,,,,,,
,31/05/2015,7.3,16.1,5.8,18:00,S,20,41,1015.4,89,52,,,,,,,,,,
,1/06/2015,5.3,11.9,8.2,11:30,SW,15,30,1027.3,90,49,,,,,,,,,,
,2/06/2015,7.3,11,0.8,12:00,SW,11,20,1029.3,97,79,,,,,,,,,,
,3/06/2015,5.7,13.3,0.8,11:00,N,9,13,1025.4,97,57,,,,,,,,,,
,4/06/2015,4.5,10.9,4.2,12:30,N,32,56,1022.9,89,56,,,,,,,,,,
,5/06/2015,7.1,14.2,4.2,11:30,NNW,15,22,1027.2,87,57,,,,,,,,,,
,6/06/2015,10.1,16.4,0.2,21:30,N,17,32,1028.9,96,65,,,,,,,,,,
,7/06/2015,11.3,14.3,0,22:44,N,33,54,1025.7,80,65,,,,,,,,,,
,8/06/2015,11.2,18.2,0,14:01,NNW,28,48,1019,73,50,,,,,,,,,,
,9/06/2015,8.7,15.8,4,0:52,NNW,33,50,1030,93,52,,,,,,,,,,
,10/06/2015,7.7,12.9,0.2,14:30,N,19,50,1037.5,87,53,,,,,,,,,,
,11/06/2015,5.8,13.9,0,14:30,S,11,15,1038.5,97,57,,,,,,,,,,
,12/06/2015,5.3,12.9,0,13:30,NNE,11,15,1035.7,100,66,,,,,,,,,,
,13/06/2015,6.1,18,0,13:00,N,15,20,1030.5,97,53,,,,,,,,,,
,14/06/2015,5.8,16.9,0,10:00,NNE,11,15,1028.4,99,55,,,,,,,,,,
,15/06/2015,7.4,16.7,4,16:30,ESE,9,15,1026.4,100,56,,,,,,,,,,
,16/06/2015,11.5,16,68,13:00,NW,13,20,1021.3,100,72,,,,,,,,,,
,17/06/2015,12,13.5,0,18:30,SSE,15,30,1016.9,100,85,,,,,,,,,,
,18/06/2015,9.6,12.5,4.8,11:30,SE,19,37,1022.7,93,67,,,,,,,,,,
,19/06/2015,5.4,11.9,0.6,16:30,SSE,19,24,1026.8,96,58,,,,,,,,,,
,20/06/2015,4.1,11.5,0,14:30,SW,13,19,1028.7,100,77,,,,,,,,,,
,21/06/2015,2.3,12.6,0,15:30,NNW,20,26,1029.3,99,44,,,,,,,,,,
,22/06/2015,4.8,14,0,12:19,N,35,56,1025.9,80,50,,,,,,,,,,
,23/06/2015,14.1,17.2,0,14:43,N,33,46,1019.1,76,47,,,,,,,,,,
,24/06/2015,10.9,15.9,0,21:30,W,17,24,1025.6,82,59,,,,,,,,,,
,25/06/2015,12,14,0,11:30,W,13,26,1031.6,79,67,,,,,,,,,,
,26/06/2015,9.6,16.3,0,12:30,WNW,17,20,1033.3,72,49,,,,,,,,,,
,27/06/2015,10.1,14,0,13:30,N,22,28,1032.7,75,59,,,,,,,,,,
,28/06/2015,7.6,14.4,0,15:30,S,9,15,1034.2,94,62,,,,,,,,,,
,29/06/2015,5.5,12.2,0,16:00,S,13,17,1032.8,100,66,,,,,,,,,,
,30/06/2015,11.1,14.2,0,0:00,W,7,15,1028.8,76,50,,,,,,,,,,
,1/07/2015,,,,,,,,,,,,,,,,,,,,
,2/07/2015,7.5,11.2,2,18:00,SSW,15,28,1028.8,80,60,,,,,,,,,,
,3/07/2015,8.6,11.1,0,21:30,NNW,15,20,1026.2,59,46,,,,,,,,,,
,4/07/2015,9.2,10.5,2,22:30,N,17,22,1022.1,83,68,,,,,,,,,,
,5/07/2015,9.7,13.6,0,23:50,N,24,37,1018.3,64,53,,,,,,,,,,
,6/07/2015,8.8,11.3,2.2,15:30,N,22,30,1018.7,84,61,,,,,,,,,,
,7/07/2015,7.2,12,0.2,15:00,SSW,11,17,1025.2,99,70,,,,,,,,,,
,8/07/2015,11.2,14.4,0,15:10,NNW,19,26,1027.5,75,54,,,,,,,,,,
,9/07/2015,8.3,13.3,0,16:00,NNE,13,20,1023.8,80,56,,,,,,,,,,
,10/07/2015,12.8,14.3,0,23:43,N,28,48,1011.9,72,56,,,,,,,,,,
,11/07/2015,6.4,9.5,1.6,21:00,N,15,17,1004.7,88,74,,,,,,,,,,
,12/07/2015,9.5,12.3,27.4,20:00,SSW,24,35,1009.1,100,85,,,,,,,,,,
,13/07/2015,8.1,12.6,3.8,21:00,WSW,19,32,1013.5,96,70,,,,,,,,,,
,14/07/2015,6.7,9.1,3.6,17:30,N,28,37,1011.4,93,67,,,,,,,,,,
,15/07/2015,8.4,9.6,0.2,21:10,SSE,15,20,1023.3,90,74,,,,,,,,,,
,16/07/2015,7.5,11.5,0,18:00,SSE,17,28,1022.9,89,64,,,,,,,,,,
,17/07/2015,8.6,12.1,0.4,17:30,S,17,35,1027.3,85,56,,,,,,,,,,
,18/07/2015,3.4,10.7,0,16:30,SSW,11,20,1033.1,92,56,,,,,,,,,,
,19/07/2015,3.4,11.6,0,17:00,WSW,2,9,1033.3,97,55,,,,,,,,,,
,20/07/2015,5.7,14.4,0,14:30,N,37,50,1029.6,86,44,,,,,,,,,,
,21/07/2015,14.6,16.4,0,22:35,N,32,50,1021,59,47,,,,,,,,,,
,22/07/2015,7.1,16,0,16:00,W,11,20,1024.7,92,47,,,,,,,,,,
,23/07/2015,8.8,15.6,0,15:00,N,22,33,1022.8,90,55,,,,,,,,,,
,24/07/2015,9.6,14.8,6.2,15:30,N,28,39,1010.4,84,69,,,,,,,,,,
,25/07/2015,11.7,13.3,0,20:00,N,30,54,1011.9,63,56,,,,,,,,,,
,26/07/2015,6.8,10.4,12,14:30,W,33,44,1022.6,79,52,,,,,,,,,,
,27/07/2015,9.4,13.6,0,17:30,W,15,28,1031.5,77,54,,,,,,,,,,
,28/07/2015,10.1,13,0,14:30,SSW,11,17,1034.4,84,68,,,,,,,,,,
,29/07/2015,9.7,13.1,0,14:30,N,26,35,1029.4,72,53,,,,,,,,,,
,30/07/2015,9.3,12.2,6,14:30,N,41,63,1018.4,85,53,,,,,,,,,,
,31/07/2015,10.2,13.7,0,22:30,N,26,41,1017.4,60,43,,,,,,,,,,
,1/08/2015,8.2,11.3,0,15:30,WSW,9,13,1016.5,70,52,,,,,,,,,,
,2/08/2015,9.3,14.5,6,19:00,WNW,28,35,1013.1,92,45,,,,,,,,,,
,3/08/2015,5.9,9.3,0,16:00,SSW,15,28,1024.1,71,57,,,,,,,,,,
,4/08/2015,9.2,11,0,21:30,N,20,37,1019.4,71,52,,,,,,,,,,
,5/08/2015,7.3,9.5,2.4,15:20,S,26,32,1016.6,79,67,,,,,,,,,,
,6/08/2015,9.1,12.4,7.2,20:30,W,13,19,1023.8,97,82,,,,,,,,,,
,7/08/2015,9.6,13,0.6,16:17,N,30,50,1026.3,100,70,,,,,,,,,,
,8/08/2015,8.7,12.5,0,20:00,NNE,9,13,1023.5,90,68,,,,,,,,,,
,9/08/2015,10,12.8,0,15:50,N,28,35,1017.5,78,56,,,,,,,,,,
,10/08/2015,9.7,15.4,6.4,15:30,N,28,39,1010.5,78,53,,,,,,,,,,
,11/08/2015,12.2,14.4,0,15:10,N,32,50,1006.9,55,43,,,,,,,,,,
,12/08/2015,9.3,14.6,4.8,21:50,W,19,22,1013.5,89,53,,,,,,,,,,
,13/08/2015,11.4,12.4,0,18:30,W,17,22,1022.6,64,58,,,,,,,,,,
,14/08/2015,11.7,15.2,3.6,18:30,W,13,20,1029.2,97,53,,,,,,,,,,
,15/08/2015,6.8,14.3,0,14:00,SSW,15,19,1030.6,94,54,,,,,,,,,,
,16/08/2015,12.8,17,0,14:50,NW,19,24,1021.6,71,44,,,,,,,,,,
,17/08/2015,6.8,10.4,0,14:40,SSW,19,26,1020.6,80,58,,,,,,,,,,
,18/08/2015,8.1,10.7,0,14:00,S,9,15,1025.4,87,60,,,,,,,,,,
,19/08/2015,6.8,12.4,0,16:40,SSW,11,15,1026,92,62,,,,,,,,,,
,20/08/2015,13.7,16.9,0,15:00,N,26,43,1022,57,46,,,,,,,,,,
,21/08/2015,14.6,18.6,0,18:10,N,33,56,1013.6,69,37,,,,,,,,,,
,22/08/2015,11,17.1,0,14:00,SSW,13,20,1017.6,78,56,,,,,,,,,,
,23/08/2015,10.4,15.5,0,22:30,S,17,28,1022.8,90,59,,,,,,,,,,
,24/08/2015,10.1,13.8,0,18:10,SE,28,41,1023.9,86,65,,,,,,,,,,
,25/08/2015,10.8,14.2,3,14:30,SE,24,32,1026.7,70,56,,,,,,,,,,
,26/08/2015,11.1,14.5,0,14:00,SSW,11,15,1023.4,81,51,,,,,,,,,,
,27/08/2015,10.8,11.6,17.2,17:30,S,19,30,1023.7,100,87,,,,,,,,,,
,28/08/2015,7.4,12.5,0,15:30,SSW,22,37,1026.9,79,48,,,,,,,,,,
,29/08/2015,9.4,11.3,1.2,14:30,S,22,41,1026,98,74,,,,,,,,,,
,30/08/2015,9.9,11.7,0,15:10,S,20,28,1023.9,77,62,,,,,,,,,,
,31/08/2015,10.1,12.3,0,17:40,S,17,24,1019.3,68,55,,,,,,,,,,
,1/09/2015,9.2,15.6,0,15:00,SSW,11,19,1014.6,72,47,,,,,,,,,,
,2/09/2015,11.1,17.6,4.4,15:00,NNE,20,32,1008.6,100,41,,,,,,,,,,
,3/09/2015,10.4,13,0,16:00,SSW,24,37,1023.6,78,58,,,,,,,,,,
,4/09/2015,10.9,13,0,15:00,S,11,22,1025.5,74,52,,,,,,,,,,
,5/09/2015,7.6,13.5,0,15:00,SSW,15,20,1023.8,90,63,,,,,,,,,,
,6/09/2015,9.2,15.1,3.6,15:06,N,30,48,1014.8,87,51,,,,,,,,,,
,7/09/2015,8.9,11.2,0.8,17:30,W,19,35,1019.4,88,56,,,,,,,,,,
,8/09/2015,10.2,12.1,0,15:00,SSW,19,32,1024.5,85,60,,,,,,,,,,
,9/09/2015,11.5,14.8,0,16:00,S,13,20,1030.8,82,46,,,,,,,,,,
,10/09/2015,8.6,15.4,0,15:30,S,15,20,1031.4,98,55,,,,,,,,,,
,11/09/2015,14.1,19.7,0,15:40,NNW,32,41,1025.7,67,43,,,,,,,,,,
,12/09/2015,16.5,21.6,0,15:30,N,24,30,1024.7,59,45,,,,,,,,,,
,13/09/2015,16.2,25.3,0,15:00,N,26,32,1021.9,64,33,,,,,,,,,,
,14/09/2015,13.6,26.5,0,16:06,N,30,50,1012.6,90,32,,,,,,,,,,
,15/09/2015,10.1,14.3,0,17:30,S,17,24,1019.7,84,52,,,,,,,,,,
,16/09/2015,11,14.6,0,16:30,SSW,20,30,1020.9,83,56,,,,,,,,,,
,17/09/2015,11.9,13.2,0,14:30,S,17,28,1027.5,75,65,,,,,,,,,,
,18/09/2015,9.5,14.4,0,21:00,SSE,13,22,1028.7,89,72,,,,,,,,,,
,19/09/2015,10.6,20.4,0,15:00,NNW,20,32,1021.5,94,37,,,,,,,,,,
,20/09/2015,15.1,22.7,0,15:00,N,20,32,1017.2,69,39,,,,,,,,,,
,21/09/2015,10.2,12.9,2.2,15:00,S,15,32,1020.6,92,53,,,,,,,,,,
,22/09/2015,7.6,12.4,4.4,14:40,S,35,48,1032.8,87,44,,,,,,,,,,
,23/09/2015,8.6,12.3,0,13:00,SSW,24,37,1035.8,71,44,,,,,,,,,,
