id,data_upd_at,pv_last_wk,pv_last_mth,pv_total,download_count,log_time
pv8y-ihee,2017-07-28 07:03:49+00:00,17,74,7900,160697,2021-11-19 19:07:17.807629
h57g-5234,2021-09-21 16:44:14+00:00,61,214,7577,2196,2021-11-19 19:07:17.807629
gei8-3w86,,13,77,7307,7362378,2021-11-19 19:07:17.807629
d5tb-r7a6,2018-08-17 03:10:01+00:00,29,148,7226,0,2021-11-19 19:07:17.807629
mffi-m9yn,2021-11-02 22:19:04+00:00,21,165,6982,2753,2021-11-19 19:07:17.807629
qksr-hqee,2017-07-28 06:53:42+00:00,7,69,6960,1861,2021-11-19 19:07:17.807629
3927-sgfc,2015-11-09 05:22:47+00:00,7,34,6235,476704,2021-11-19 19:07:17.807629
u9sa-j86i,2019-04-18 02:42:21+00:00,4,45,6212,1424,2021-11-19 19:07:17.807629
b36j-kiy4,2021-11-02 22:38:03+00:00,13,55,6198,2854,2021-11-19 19:07:17.807629
pq2z-35fu,2019-10-07 02:22:25+00:00,14,77,5854,1209,2021-11-19 19:07:17.807629
m7yp-p495,,38,194,5823,13530346,2021-11-19 19:07:17.807629
mgkp-67ad,2018-02-12 03:47:12+00:00,23,150,5485,721680,2021-11-19 19:07:17.807629
234q-gg83,2021-11-02 22:49:34+00:00,4,56,5316,1547,2021-11-19 19:07:17.807629
cwpe-ugri,2019-11-10 23:49:52+00:00,57,278,5301,0,2021-11-19 19:07:17.807629
e6er-4cb3,2016-02-09 03:54:32+00:00,5,30,5162,1565,2021-11-19 19:07:17.807629
s8dq-xd4g,,7,29,5037,2971982,2021-11-19 19:07:17.807629
qabw-suvb,2021-11-02 22:05:44+00:00,10,89,4919,891,2021-11-19 19:07:17.807629
c3gt-hrz6,2021-11-02 22:32:26+00:00,9,37,4906,2679,2021-11-19 19:07:17.807629
gh9v-yqwz,2020-06-25 01:57:53+00:00,10,31,4862,1933,2021-11-19 19:07:17.807629
9mdh-8yau,2021-09-23 16:45:49+00:00,7,53,4619,7206912,2021-11-19 19:07:17.807629
jtcb-iab6,2015-04-28 06:25:46+00:00,4,15,4318,1773,2021-11-19 19:07:17.807629
khvg-gtaq,2017-05-31 00:33:10+00:00,3,19,4302,1554,2021-11-19 19:07:17.807629
3bff-vaa5,2016-05-10 04:25:02+00:00,49,208,4300,11802,2021-11-19 19:07:17.807629
j4qc-4tib,2021-08-23 16:02:40+00:00,23,90,4206,1140,2021-11-19 19:07:17.807629
2x56-ai8r,2021-09-23 16:47:48+00:00,12,59,4080,9808179,2021-11-19 19:07:17.807629
5nb5-w7hq,2021-08-13 16:54:24+00:00,17,50,3944,2897,2021-11-19 19:07:17.807629
8wi9-ysz4,2019-01-24 00:57:42+00:00,10,47,3916,0,2021-11-19 19:07:17.807629
u4vh-84j8,2021-11-19 07:30:16+00:00,34,123,3880,463,2021-11-19 19:07:17.807629
rpt3-2axt,,6,36,3842,7813,2021-11-19 19:07:17.807629
ru3z-44we,2021-09-30 16:07:52+00:00,12,48,3594,2554,2021-11-19 19:07:17.807629
vdsi-4gtj,2021-09-23 16:01:43+00:00,6,23,3475,2394,2021-11-19 19:07:17.807629
dyqx-cfn5,2021-11-02 22:16:33+00:00,16,94,3357,649,2021-11-19 19:07:17.807629
6fzs-45an,2014-05-02 03:02:11+00:00,5,19,3329,1923,2021-11-19 19:07:17.807629
pih2-628i,2017-03-02 03:34:39+00:00,4,34,3312,1372,2021-11-19 19:07:17.807629
2eyd-p5ws,2015-05-07 06:20:43+00:00,2,6,3260,2777,2021-11-19 19:07:17.807629
ck33-yh8z,,30,111,3213,5013334,2021-11-19 19:07:17.807629
wqka-kyhz,,4,54,3081,1820910,2021-11-19 19:07:17.807629
ss79-v558,,18,86,3013,1647126,2021-11-19 19:07:17.807629
k64i-2xff,2015-01-20 23:24:00+00:00,4,11,2961,1377,2021-11-19 19:07:17.807629
g48j-sdah,,3,8,2905,1953,2021-11-19 19:07:17.807629
su97-b2at,2020-07-05 16:23:59+00:00,5,25,2866,75490,2021-11-19 19:07:17.807629
jzfa-q3k3,2021-09-27 16:32:26+00:00,5,44,2832,3404400,2021-11-19 19:07:17.807629
h4ih-tzqs,2021-08-23 16:50:10+00:00,2,25,2805,2815,2021-11-19 19:07:17.807629
24aw-nd3i,2021-08-23 16:00:21+00:00,9,37,2681,709262,2021-11-19 19:07:17.807629
qa5h-sfgh,2018-09-20 05:11:49+00:00,4,12,2612,0,2021-11-19 19:07:17.807629
txcy-uafv,2021-09-30 16:47:56+00:00,4,34,2586,984,2021-11-19 19:07:17.807629
wwkr-v8s7,2018-03-02 03:21:33+00:00,12,26,2563,1810,2021-11-19 19:07:17.807629
a945-pqqr,2017-05-19 03:25:03+00:00,2,7,2529,1283,2021-11-19 19:07:17.807629
4id4-tydi,2019-02-14 05:10:58+00:00,7,42,2341,1076,2021-11-19 19:07:17.807629
vesm-c7r2,2021-11-02 22:13:48+00:00,10,67,2340,754,2021-11-19 19:07:17.807629
mxsp-c8nh,2019-02-19 05:58:26+00:00,0,4,2301,1140,2021-11-19 19:07:17.807629
ht4h-vqbu,2016-11-09 04:18:08+00:00,2,11,2286,2887,2021-11-19 19:07:17.807629
d34a-re98,2018-02-22 23:37:02+00:00,11,56,2283,1396,2021-11-19 19:07:17.807629
tqjk-32d9,,6,25,2267,1608,2021-11-19 19:07:17.807629
axts-5eu4,2015-01-20 23:50:04+00:00,1,6,2193,1629,2021-11-19 19:07:17.807629
rm92-h5tq,2021-11-02 22:25:14+00:00,8,37,2189,563,2021-11-19 19:07:17.807629
be3i-empa,2021-11-02 22:05:44+00:00,3,10,2171,256,2021-11-19 19:07:17.807629
7pgd-bdf2,2020-04-14 00:10:03+00:00,9,58,2159,226,2021-11-19 19:07:17.807629
dj7e-rdx9,2019-04-17 08:02:55+00:00,4,12,2149,1490,2021-11-19 19:07:17.807629
x69f-uxmj,2017-05-12 05:58:01+00:00,5,28,2127,1618,2021-11-19 19:07:17.807629
rwbd-626w,2021-08-23 16:47:08+00:00,6,24,2014,1726860,2021-11-19 19:07:17.807629
vrwc-rwgm,2018-10-15 03:54:32+00:00,7,44,2009,1250,2021-11-19 19:07:17.807629
qnju-it8g,2021-11-02 22:38:03+00:00,3,32,1998,453,2021-11-19 19:07:17.807629
nyr3-sees,2019-09-12 05:00:14+00:00,6,33,1986,373,2021-11-19 19:07:17.807629
4n3a-s6rn,2020-06-01 08:35:48+00:00,6,54,1985,277,2021-11-19 19:07:17.807629
n6sz-6nb6,,2,15,1954,5564262,2021-11-19 19:07:17.807629
nmnx-3ct3,,1,45,1907,4551653,2021-11-19 19:07:17.807629
e63d-rbu7,2019-01-14 00:47:27+00:00,0,22,1905,2762,2021-11-19 19:07:17.807629
6yxs-smdz,,3,14,1877,3135136,2021-11-19 19:07:17.807629
dmpt-2xdw,2021-08-23 16:45:41+00:00,2,9,1874,5049596,2021-11-19 19:07:17.807629
mayw-9gb5,2021-11-02 22:49:34+00:00,3,40,1865,442,2021-11-19 19:07:17.807629
n9ie-cp6t,2018-10-12 00:40:22+00:00,1,11,1842,1033,2021-11-19 19:07:17.807629
dh3m-ckxm,,3,40,1758,6644363,2021-11-19 19:07:17.807629
v9mu-dvfu,2019-03-18 04:50:39+00:00,0,16,1744,930,2021-11-19 19:07:17.807629
mgqj-necz,2020-03-05 03:52:54+00:00,8,43,1717,540,2021-11-19 19:07:17.807629
irqv-hjr4,2021-11-19 07:30:15+00:00,8,35,1673,205,2021-11-19 19:07:17.807629
3v7r-q3ds,2015-04-28 07:22:49+00:00,3,9,1669,1615,2021-11-19 19:07:17.807629
md5d-vpap,2021-11-02 22:32:26+00:00,6,39,1628,301,2021-11-19 19:07:17.807629
3bxw-t8fk,2019-02-06 04:34:39+00:00,3,16,1628,724,2021-11-19 19:07:17.807629
uyp8-7ii8,2019-03-18 03:17:17+00:00,3,19,1624,905,2021-11-19 19:07:17.807629
ambt-72qg,2018-03-02 04:10:30+00:00,6,21,1612,926,2021-11-19 19:07:17.807629
4j42-79hg,2021-08-23 16:00:54+00:00,4,11,1609,1062,2021-11-19 19:07:17.807629
hg8j-vcww,,1,15,1605,8649,2021-11-19 19:07:17.807629
g9am-cna5,2021-11-02 22:29:27+00:00,0,25,1585,421,2021-11-19 19:07:17.807629
psq9-yz4x,2021-09-28 16:39:09+00:00,7,36,1575,1094,2021-11-19 19:07:17.807629
2x87-fe4u,2014-05-02 04:25:14+00:00,2,30,1488,1367,2021-11-19 19:07:17.807629
wcd7-bvh4,2021-11-18 00:49:27+00:00,17,27,1466,1622,2021-11-19 19:07:17.807629
grmi-2ew3,2021-09-30 16:40:19+00:00,3,35,1431,2280595,2021-11-19 19:07:17.807629
47ai-9yup,2017-05-18 04:25:26+00:00,1,6,1412,1036,2021-11-19 19:07:17.807629
jsun-ttri,2021-11-02 22:39:47+00:00,4,25,1398,847,2021-11-19 19:07:17.807629
uqhf-q5h7,2014-05-02 02:40:39+00:00,4,11,1370,1655,2021-11-19 19:07:17.807629
rdi4-j8zh,2021-09-30 16:44:14+00:00,3,21,1360,4588,2021-11-19 19:07:17.807629
sex6-6426,2018-02-22 03:19:28+00:00,6,17,1357,2884,2021-11-19 19:07:17.807629
mi2q-4527,2021-11-02 22:40:43+00:00,2,41,1330,1046,2021-11-19 19:07:17.807629
6cxw-5y4y,2019-01-09 03:20:29+00:00,1,8,1325,867,2021-11-19 19:07:17.807629
ew6k-chz4,2017-05-19 01:57:49+00:00,0,2,1291,1209,2021-11-19 19:07:17.807629
55up-8nwa,2015-05-07 06:30:36+00:00,2,4,1289,1258,2021-11-19 19:07:17.807629
vzb2-a2kz,2021-08-23 16:46:03+00:00,3,8,1271,1699963,2021-11-19 19:07:17.807629
84bf-dihi,,1,4,1263,4851824,2021-11-19 19:07:17.807629
q3ni-rkmu,2021-06-28 01:55:48+00:00,5,20,1232,142,2021-11-19 19:07:17.807629
r6ug-jmg3,2017-05-12 06:07:26+00:00,3,12,1227,1290,2021-11-19 19:07:17.807629
arvc-7u8d,2021-11-02 22:25:14+00:00,1,9,1180,199,2021-11-19 19:07:17.807629
rhc3-j4bg,2017-05-04 05:47:33+00:00,1,12,1167,16103,2021-11-19 19:07:17.807629
tq3k-d7n7,2019-12-01 21:31:05+00:00,1,18,1167,280,2021-11-19 19:07:17.807629
rpdm-je7s,,2,5,1160,4808644,2021-11-19 19:07:17.807629
fzjr-9nrn,2021-09-30 17:21:58+00:00,4,10,1156,735,2021-11-19 19:07:17.807629
9hjf-8i2d,2021-11-02 22:19:04+00:00,8,49,1139,296,2021-11-19 19:07:17.807629
kmtd-nvqr,2018-05-08 00:04:44+00:00,0,10,1130,1039,2021-11-19 19:07:17.807629
23k2-cnm2,2021-08-23 16:47:45+00:00,1,4,1106,1502235,2021-11-19 19:07:17.807629
w2pi-36nk,2021-11-02 22:16:33+00:00,2,15,1071,204,2021-11-19 19:07:17.807629
nw38-8y7g,2021-11-02 22:40:43+00:00,3,29,1046,202,2021-11-19 19:07:17.807629
xgce-vkbh,,3,20,1031,3150728,2021-11-19 19:07:17.807629
2ph9-es73,2015-05-07 06:48:07+00:00,1,8,1026,1317,2021-11-19 19:07:17.807629
inah-t6kx,2021-05-21 03:37:13+00:00,2,16,1022,775,2021-11-19 19:07:17.807629
g8gz-fuiv,2018-10-25 00:50:36+00:00,6,12,1008,850,2021-11-19 19:07:17.807629
a52j-vb2e,2018-09-27 05:08:46+00:00,3,16,1007,718,2021-11-19 19:07:17.807629
74id-aqj9,2018-09-04 21:55:19+00:00,6,22,1006,731,2021-11-19 19:07:17.807629
4spx-8bh5,2021-08-23 16:03:50+00:00,3,15,986,1040,2021-11-19 19:07:17.807629
fyes-zqbt,2017-04-04 03:40:26+00:00,3,10,960,295872,2021-11-19 19:07:17.807629
6rkf-zake,2019-02-19 23:04:54+00:00,2,5,947,679,2021-11-19 19:07:17.807629
96gt-j9ix,2021-09-30 16:45:01+00:00,1,2,942,2229339,2021-11-19 19:07:17.807629
5dx2-u4mf,2021-09-22 16:50:01+00:00,2,11,933,979,2021-11-19 19:07:17.807629
gyfq-h9jk,2018-09-27 05:03:00+00:00,9,16,917,664,2021-11-19 19:07:17.807629
v4zv-yqtp,2021-08-23 16:38:17+00:00,4,12,903,1123,2021-11-19 19:07:17.807629
xmnz-a7qy,,1,2,895,17606,2021-11-19 19:07:17.807629
svux-bada,,1,9,894,5415168,2021-11-19 19:07:17.807629
5kg2-fg9r,2015-05-14 01:22:49+00:00,2,4,884,1215,2021-11-19 19:07:17.807629
x4k3-uj4j,2020-12-15 04:38:19+00:00,5,26,880,98,2021-11-19 19:07:17.807629
bevb-vgiu,2015-10-16 05:28:52+00:00,0,3,855,1217,2021-11-19 19:07:17.807629
pyua-izk6,2017-04-04 03:56:11+00:00,1,1,844,40917,2021-11-19 19:07:17.807629
th7x-7gv7,2021-05-26 04:57:50+00:00,16,76,819,43,2021-11-19 19:07:17.807629
99qa-f55d,2016-10-24 02:40:38+00:00,0,2,802,1305,2021-11-19 19:07:17.807629
reaf-a4my,2021-11-02 22:29:27+00:00,2,12,788,160,2021-11-19 19:07:17.807629
55z9-zqzu,2021-08-23 16:15:10+00:00,3,10,779,1018,2021-11-19 19:07:17.807629
c2cr-5q87,2017-07-28 06:40:41+00:00,0,5,773,1646,2021-11-19 19:07:17.807629
awcz-wi9e,2015-05-07 06:34:45+00:00,1,4,737,2053,2021-11-19 19:07:17.807629
nnx5-w29b,2015-05-07 07:36:31+00:00,4,6,735,1334,2021-11-19 19:07:17.807629
xfa5-gt4u,2018-09-27 02:44:06+00:00,1,4,727,730,2021-11-19 19:07:17.807629
cawe-uats,2017-05-22 05:41:43+00:00,1,7,712,963,2021-11-19 19:07:17.807629
9usq-v437,2015-10-16 05:49:34+00:00,1,4,711,1063,2021-11-19 19:07:17.807629
t6hb-9uf2,2019-04-16 11:26:16+00:00,0,6,703,1761,2021-11-19 19:07:17.807629
gquc-eex2,2018-08-21 22:09:34+00:00,0,6,702,905,2021-11-19 19:07:17.807629
vkxi-k7ps,2019-04-09 06:20:02+00:00,0,13,699,1049,2021-11-19 19:07:17.807629
gznb-6fq3,2021-11-02 22:39:47+00:00,4,29,694,127,2021-11-19 19:07:17.807629
npd7-23gm,2017-05-03 06:17:56+00:00,0,4,683,941,2021-11-19 19:07:17.807629
wdtk-npar,2021-11-02 22:13:48+00:00,1,7,676,320,2021-11-19 19:07:17.807629
nug6-empf,2021-11-02 22:51:36+00:00,4,59,674,85,2021-11-19 19:07:17.807629
apua-t2tb,2019-04-17 02:11:07+00:00,0,6,674,1412,2021-11-19 19:07:17.807629
rsgn-pgkc,2018-09-27 05:14:42+00:00,0,11,671,842,2021-11-19 19:07:17.807629
fthi-zajy,2016-11-21 04:11:12+00:00,2,8,643,1066,2021-11-19 19:07:17.807629
5532-ig9r,2020-04-02 20:11:40+00:00,2,17,601,86,2021-11-19 19:07:17.807629
rqdu-ieaj,2017-04-27 03:22:55+00:00,1,1,594,639348,2021-11-19 19:07:17.807629
mv4n-8k4v,2021-11-19 07:30:38+00:00,6,25,587,33,2021-11-19 19:07:17.807629
7je2-yydd,2021-11-02 22:19:04+00:00,5,11,587,116,2021-11-19 19:07:17.807629
s7e6-a6bm,2017-04-19 03:05:52+00:00,2,12,584,40664,2021-11-19 19:07:17.807629
necc-34pz,2017-05-12 06:23:24+00:00,0,10,571,1004,2021-11-19 19:07:17.807629
wxa3-hxd3,2021-11-02 22:51:36+00:00,0,42,563,159,2021-11-19 19:07:17.807629
ue3p-kdsu,2017-08-07 05:36:15+00:00,1,24,556,627,2021-11-19 19:07:17.807629
8c5t-6gxs,2017-05-12 06:23:24+00:00,0,4,549,889,2021-11-19 19:07:17.807629
pkqa-bdit,2015-05-07 06:27:15+00:00,5,10,539,1171,2021-11-19 19:07:17.807629
nzkf-kgud,2015-05-07 06:40:06+00:00,0,2,539,1183,2021-11-19 19:07:17.807629
kv9p-crx6,2017-05-04 05:55:17+00:00,1,3,531,594,2021-11-19 19:07:17.807629
hfxu-z5ii,2018-09-27 02:59:26+00:00,3,9,525,636,2021-11-19 19:07:17.807629
7nkv-ni4n,2021-11-02 22:38:58+00:00,5,32,522,102,2021-11-19 19:07:17.807629
u3gs-y2xi,2018-09-27 00:55:08+00:00,1,8,511,644,2021-11-19 19:07:17.807629
vbe9-m4tk,2019-04-11 04:33:05+00:00,0,5,508,1277,2021-11-19 19:07:17.807629
75qa-syb4,2017-04-04 03:53:05+00:00,1,1,495,894,2021-11-19 19:07:17.807629
xy7t-cwm2,2017-04-04 03:55:01+00:00,2,11,477,880407,2021-11-19 19:07:17.807629
q67c-6wjt,2021-11-02 22:44:13+00:00,1,25,468,75,2021-11-19 19:07:17.807629
625k-qaqp,2019-11-12 01:58:45+00:00,2,10,448,0,2021-11-19 19:07:17.807629
7jq6-k9kf,2019-04-16 03:19:33+00:00,3,8,435,1235,2021-11-19 19:07:17.807629
krg7-hmyt,2021-08-11 02:53:57+00:00,9,95,413,28,2021-11-19 19:07:17.807629
2b75-x6et,2021-11-02 22:38:58+00:00,1,22,413,266,2021-11-19 19:07:17.807629
w8cz-guri,2015-05-07 06:42:26+00:00,1,3,404,1214,2021-11-19 19:07:17.807629
hpzc-vi8m,2021-08-23 16:37:29+00:00,1,1,393,726,2021-11-19 19:07:17.807629
7kjb-25ry,2017-05-04 05:48:40+00:00,1,1,368,1043,2021-11-19 19:07:17.807629
jwq3-hkg3,2017-05-12 06:23:28+00:00,0,3,357,860,2021-11-19 19:07:17.807629
cm7k-9aj4,2021-08-26 16:01:11+00:00,2,5,350,1068,2021-11-19 19:07:17.807629
hfm2-46au,2017-04-19 03:08:02+00:00,1,7,343,537596,2021-11-19 19:07:17.807629
a9sc-9jxz,2021-11-02 22:44:13+00:00,0,21,342,219,2021-11-19 19:07:17.807629
erbg-hj42,2017-04-19 03:09:39+00:00,1,1,330,526304,2021-11-19 19:07:17.807629
fsfa-5ye5,2017-04-19 03:11:15+00:00,1,2,321,670,2021-11-19 19:07:17.807629
dxvp-runr,2021-11-19 02:08:38+00:00,0,7,317,31,2021-11-19 19:07:17.807629
n57n-9wqc,2015-05-07 06:38:30+00:00,0,2,311,1166,2021-11-19 19:07:17.807629
y7km-5r6f,2020-12-15 04:38:24+00:00,2,12,308,111,2021-11-19 19:07:17.807629
m8kf-ur3f,2017-05-12 06:13:42+00:00,0,4,265,788,2021-11-19 19:07:17.807629
mcf9-snjr,2017-05-12 06:20:10+00:00,0,3,235,831,2021-11-19 19:07:17.807629
hisn-tyup,2017-05-12 06:23:18+00:00,0,3,225,848,2021-11-19 19:07:17.807629
sp4r-xphj,2021-08-12 06:45:16+00:00,7,63,109,17,2021-11-19 19:07:17.807629
73qa-862u,2021-08-12 07:19:52+00:00,12,28,52,13,2021-11-19 19:07:17.807629
jizx-9ayp,2021-08-12 07:01:29+00:00,2,16,47,7,2021-11-19 19:07:17.807629
ssm6-4b38,2021-08-12 07:27:00+00:00,1,12,37,6,2021-11-19 19:07:17.807629
id,data_upd_at,pv_last_wk,pv_last_mth,pv_total,download_count,log_time
b2ak-trbp,2021-11-04 22:38:23+00:00,105,751,73857,8834,2021-11-20 19:00:16.609119
y79a-us3f,,3,32,66899,3178,2021-11-20 19:00:16.609119
fp38-wiyy,2021-09-30 16:06:54+00:00,44,262,39843,6395,2021-11-20 19:00:16.609119
vh2v-4nfs,2021-11-20 07:58:29+00:00,144,624,38620,12085768,2021-11-20 19:00:16.609119
7q9g-yyvg,2018-03-02 01:46:14+00:00,122,476,32099,1821,2021-11-20 19:00:16.609119
i8px-csib,2017-05-12 05:48:58+00:00,222,884,30422,3321,2021-11-20 19:00:16.609119
crvt-b4kt,2021-08-23 16:04:33+00:00,118,513,25368,39776,2021-11-20 19:00:16.609119
xt2y-tnn9,2021-11-02 22:16:33+00:00,77,306,24680,16162,2021-11-20 19:00:16.609119
gh7s-qda8,2021-09-29 06:47:23+00:00,41,154,23425,6264,2021-11-20 19:00:16.609119
r5bg-2hj8,2020-09-22 05:30:26+00:00,167,642,20320,2598,2021-11-20 19:00:16.609119
pmhb-s6pn,2021-11-02 22:05:44+00:00,62,324,19590,3338,2021-11-20 19:00:16.609119
ntht-5rk7,2021-09-14 16:04:00+00:00,65,297,17932,603244,2021-11-20 19:00:16.609119
qe9w-cym8,,15,46,17008,127163,2021-11-20 19:00:16.609119
ez6b-syvw,2015-06-15 05:55:16+00:00,19,74,14187,3520,2021-11-20 19:00:16.609119
def8-4wbt,2021-09-30 00:09:06+00:00,28,113,13849,1007540,2021-11-20 19:00:16.609119
8fgn-5q6t,2021-08-13 16:53:00+00:00,17,41,13266,2269,2021-11-20 19:00:16.609119
e56b-j9mj,2021-09-23 16:08:47+00:00,53,238,13050,2212262,2021-11-20 19:00:16.609119
67fb-mvax,2017-05-12 05:53:17+00:00,55,299,11393,1284,2021-11-20 19:00:16.609119
a7rp-xtya,2021-09-30 16:46:36+00:00,62,241,11368,163068,2021-11-20 19:00:16.609119
44kh-ty54,2021-11-02 22:25:14+00:00,44,114,10613,1987,2021-11-20 19:00:16.609119
j5vt-ppat,2017-04-06 05:48:40+00:00,15,165,10472,3223,2021-11-20 19:00:16.609119
krh5-hhjn,2021-11-02 22:29:27+00:00,10,65,10059,1580,2021-11-20 19:00:16.609119
bs7n-5veh,2021-11-02 22:13:48+00:00,8,60,10013,2264,2021-11-20 19:00:16.609119
aia8-ryiq,2021-03-18 04:20:13+00:00,29,174,9608,3197896,2021-11-20 19:00:16.609119
2dqj-9ydd,2018-08-17 04:41:48+00:00,30,163,9488,0,2021-11-20 19:00:16.609119
t3zn-qgfx,,21,173,8691,3474376,2021-11-20 19:00:16.609119
mq3i-cbxd,2015-05-12 06:33:58+00:00,2,25,8586,3572,2021-11-20 19:00:16.609119
xzxc-g5i9,2015-01-20 23:37:21+00:00,2,12,8106,1593,2021-11-20 19:00:16.609119
d6mv-s43h,2021-11-20 07:46:20+00:00,34,102,7935,20772,2021-11-20 19:00:16.609119
pv8y-ihee,2017-07-28 07:03:49+00:00,17,75,7902,160697,2021-11-20 19:00:16.609119
h57g-5234,2021-09-21 16:44:14+00:00,62,214,7583,2196,2021-11-20 19:00:16.609119
gei8-3w86,,13,74,7308,7362378,2021-11-20 19:00:16.609119
d5tb-r7a6,2018-08-17 03:10:01+00:00,31,150,7230,0,2021-11-20 19:00:16.609119
mffi-m9yn,2021-11-02 22:19:04+00:00,18,155,6982,2753,2021-11-20 19:00:16.609119
qksr-hqee,2017-07-28 06:53:42+00:00,8,65,6961,1861,2021-11-20 19:00:16.609119
3927-sgfc,2015-11-09 05:22:47+00:00,6,34,6235,476704,2021-11-20 19:00:16.609119
u9sa-j86i,2019-04-18 02:42:21+00:00,2,42,6212,1424,2021-11-20 19:00:16.609119
b36j-kiy4,2021-11-02 22:38:03+00:00,9,54,6198,2854,2021-11-20 19:00:16.609119
pq2z-35fu,2019-10-07 02:22:25+00:00,14,76,5854,1209,2021-11-20 19:00:16.609119
m7yp-p495,,39,178,5825,13530346,2021-11-20 19:00:16.609119
mgkp-67ad,2018-02-12 03:47:12+00:00,21,144,5486,721680,2021-11-20 19:00:16.609119
234q-gg83,2021-11-02 22:49:34+00:00,4,54,5316,1547,2021-11-20 19:00:16.609119
cwpe-ugri,2019-11-10 23:49:52+00:00,51,263,5303,0,2021-11-20 19:00:16.609119
e6er-4cb3,2016-02-09 03:54:32+00:00,5,30,5163,1565,2021-11-20 19:00:16.609119
s8dq-xd4g,,6,29,5037,2971982,2021-11-20 19:00:16.609119
qabw-suvb,2021-11-02 22:05:44+00:00,9,87,4920,891,2021-11-20 19:00:16.609119
c3gt-hrz6,2021-11-02 22:32:26+00:00,6,37,4906,2679,2021-11-20 19:00:16.609119
gh9v-yqwz,2020-06-25 01:57:53+00:00,9,30,4862,1933,2021-11-20 19:00:16.609119
9mdh-8yau,2021-09-23 16:45:49+00:00,8,53,4620,7206912,2021-11-20 19:00:16.609119
jtcb-iab6,2015-04-28 06:25:46+00:00,3,15,4318,1773,2021-11-20 19:00:16.609119
3bff-vaa5,2016-05-10 04:25:02+00:00,55,216,4312,11802,2021-11-20 19:00:16.609119
khvg-gtaq,2017-05-31 00:33:10+00:00,3,18,4302,1554,2021-11-20 19:00:16.609119
j4qc-4tib,2021-08-23 16:02:40+00:00,23,90,4208,1140,2021-11-20 19:00:16.609119
2x56-ai8r,2021-09-23 16:47:48+00:00,12,54,4080,9808179,2021-11-20 19:00:16.609119
5nb5-w7hq,2021-08-13 16:54:24+00:00,14,50,3944,2897,2021-11-20 19:00:16.609119
8wi9-ysz4,2019-01-24 00:57:42+00:00,10,48,3917,0,2021-11-20 19:00:16.609119
u4vh-84j8,2021-11-20 07:30:16+00:00,40,124,3888,463,2021-11-20 19:00:16.609119
